"","Dbase","Query","Bitscore","Distance"
"62","GID1_seq122","GID1_seq122",426,0
"63","GID1_seq122","GID1_seq251",27.5,0.928010471204188
"64","GID1_seq123","GID1_seq123",579,0
"65","GID1_seq123","GID1_seq240",25.8,0.966030283080974
"66","GID1_seq124","GID1_seq124",484,0
"67","GID1_seq125","GID1_seq125",845,0
"68","GID1_seq125","GID1_seq466",27.5,0.958270106221548
"69","GID1_seq126","GID1_seq126",548,0
"70","GID1_seq126","GID1_seq319",24.9,0.97991935483871
"71","GID1_seq127","GID1_seq127",557,0
"72","GID1_seq128","GID1_seq128",333,0
"73","GID1_seq129","GID1_seq129",2240,0
"74","GID1_seq13","GID1_seq13",1108,0
"75","GID1_seq130","GID1_seq130",759,0
"76","GID1_seq130","GID1_seq377",38.4,0.958032786885246
"77","GID1_seq131","GID1_seq131",552,0
"78","GID1_seq131","GID1_seq487",25.8,0.943296703296703
"79","GID1_seq132","GID1_seq132",609,0
"80","GID1_seq132","GID1_seq408",33.1,0.951608187134503
"81","GID1_seq133","GID1_seq133",1924,0
"82","GID1_seq133","GID1_seq443",41.3,0.970987003863716
"83","GID1_seq134","GID1_seq134",612,0
"84","GID1_seq134","GID1_seq407",26.6,0.949188156638013
"85","GID1_seq135","GID1_seq135",176,0
"86","GID1_seq136","GID1_seq136",786,0
"87","GID1_seq137","GID1_seq137",1298,0
"88","GID1_seq137","GID1_seq545",363,0.711561382598331
"89","GID1_seq138","GID1_seq138",477,0
"90","GID1_seq139","GID1_seq139",1246,0
"91","GID1_seq14","GID1_seq14",931,0
"92","GID1_seq14","GID1_seq172",30.3,0.963669064748201
"93","GID1_seq14","GID1_seq294",25.2,0.963767074047448
"94","GID1_seq14","GID1_seq356",31.7,0.959254498714653
"95","GID1_seq14","GID1_seq393",26.9,0.959820761762509
"96","GID1_seq14","GID1_seq433",26.1,0.97931854199683
"97","GID1_seq14","GID1_seq537",26.1,0.970951585976628
"98","GID1_seq14","GID1_seq547",64.9,0.929609544468547
"99","GID1_seq140","GID1_seq140",346,0
"100","GID1_seq140","GID1_seq152",26.6,0.946208291203236
"101","GID1_seq141","GID1_seq141",924,0
"102","GID1_seq141","GID1_seq451",25.8,0.961749444032617
"103","GID1_seq142","GID1_seq142",1899,0
"104","GID1_seq143","GID1_seq143",641,0
"105","GID1_seq144","GID1_seq144",369,0
"106","GID1_seq145","GID1_seq145",202,0
"107","GID1_seq146","GID1_seq146",173,0
"108","GID1_seq146","GID1_seq147",23.8,0.96515373352855
"109","GID1_seq147","GID1_seq147",1193,0
"110","GID1_seq147","GID1_seq148",73.6,0.932662397072278
"111","GID1_seq147","GID1_seq149",52.2,0.949928057553957
"112","GID1_seq148","GID1_seq148",993,0
"113","GID1_seq148","GID1_seq149",59.8,0.936551724137931
"114","GID1_seq149","GID1_seq149",892,0
"115","GID1_seq15","GID1_seq15",191,0
"116","GID1_seq15","GID1_seq163",26.1,0.92220566318927
"117","GID1_seq150","GID1_seq150",529,0
"118","GID1_seq150","GID1_seq299",26.1,0.952760180995475
"119","GID1_seq150","GID1_seq545",28.6,0.967276887871854
"120","GID1_seq151","GID1_seq151",847,0
"121","GID1_seq151","GID1_seq199",29.7,0.965565217391304
"122","GID1_seq151","GID1_seq204",30.8,0.962913907284768
"123","GID1_seq151","GID1_seq405",29.7,0.977276205049732
"124","GID1_seq152","GID1_seq152",643,0
"125","GID1_seq152","GID1_seq176",30.8,0.938214643931795
"126","GID1_seq152","GID1_seq230",25.2,0.947335423197492
"127","GID1_seq152","GID1_seq384",24.1,0.949948078920042
"128","GID1_seq152","GID1_seq394",28.3,0.970257488176563
"129","GID1_seq153","GID1_seq153",551,0
"130","GID1_seq153","GID1_seq174",42.9,0.926978723404255
"131","GID1_seq153","GID1_seq508",23.3,0.934273624823695
"132","GID1_seq153","GID1_seq545",27.8,0.968587570621469
"133","GID1_seq154","GID1_seq154",719,0
"134","GID1_seq155","GID1_seq155",560,0
"135","GID1_seq155","GID1_seq304",45.2,0.926444263628967
"136","GID1_seq155","GID1_seq319",26.6,0.978651685393258
"137","GID1_seq155","GID1_seq333",26.3,0.973420919656392
"138","GID1_seq156","GID1_seq156",532,0
"139","GID1_seq156","GID1_seq221",25.2,0.982727895819054
"140","GID1_seq157","GID1_seq157",543,0
"141","GID1_seq157","GID1_seq478",24.1,0.93433242506812
"142","GID1_seq158","GID1_seq158",831,0
"143","GID1_seq158","GID1_seq333",26.9,0.976088888888889
"144","GID1_seq159","GID1_seq159",1410,0
"145","GID1_seq16","GID1_seq16",1083,0
"146","GID1_seq160","GID1_seq160",720,0
"147","GID1_seq161","GID1_seq161",1595,0
"148","GID1_seq161","GID1_seq253",27.2,0.974591312470808
"149","GID1_seq162","GID1_seq162",1645,0
"150","GID1_seq163","GID1_seq163",480,0
"151","GID1_seq163","GID1_seq32",25.5,0.984230055658627
"152","GID1_seq163","GID1_seq444",24.7,0.95147347740668
"153","GID1_seq163","GID1_seq545",24.7,0.970924072984108
"154","GID1_seq164","GID1_seq164",414,0
"155","GID1_seq165","GID1_seq165",359,0
"156","GID1_seq166","GID1_seq166",323,0
"157","GID1_seq166","GID1_seq231",58.1,0.835875706214689
"158","GID1_seq166","GID1_seq249",24.1,0.963429438543247
"159","GID1_seq166","GID1_seq300",24.1,0.963457164518575
"160","GID1_seq167","GID1_seq147",25.5,0.971556051310653
"161","GID1_seq167","GID1_seq167",600,0
"162","GID1_seq168","GID1_seq168",219,0
"163","GID1_seq168","GID1_seq252",23.5,0.931586608442504
"164","GID1_seq168","GID1_seq412",24.1,0.938910012674271
"165","GID1_seq169","GID1_seq169",455,0
"166","GID1_seq169","GID1_seq319",26.9,0.97746124842899
"167","GID1_seq17","GID1_seq17",678,0
"168","GID1_seq170","GID1_seq170",418,0
"169","GID1_seq170","GID1_seq204",24.1,0.960876623376623
"170","GID1_seq170","GID1_seq416",25.5,0.96168294515402
"171","GID1_seq171","GID1_seq171",369,0
"172","GID1_seq172","GID1_seq172",737,0
"173","GID1_seq172","GID1_seq235",29.4,0.953035143769968
"174","GID1_seq172","GID1_seq350",27.5,0.972664015904573
"175","GID1_seq172","GID1_seq356",58.7,0.913803230543319
"176","GID1_seq172","GID1_seq547",39.6,0.952
"177","GID1_seq173","GID1_seq173",881,0
"178","GID1_seq173","GID1_seq222",27.5,0.973105134474328
"179","GID1_seq173","GID1_seq59",32,0.956785955435517
"180","GID1_seq174","GID1_seq174",624,0
"181","GID1_seq175","GID1_seq175",1633,0
"182","GID1_seq175","GID1_seq231",26.6,0.973637264618434
"183","GID1_seq176","GID1_seq176",354,0
"184","GID1_seq177","GID1_seq177",508,0
"185","GID1_seq177","GID1_seq461",26.3,0.940022805017104
"186","GID1_seq178","GID1_seq129",27.2,0.980445722501797
"187","GID1_seq178","GID1_seq178",542,0
"188","GID1_seq178","GID1_seq415",26.1,0.968092909535452
"189","GID1_seq179","GID1_seq179",314,0
"190","GID1_seq179","GID1_seq350",24.7,0.968911264946507
"191","GID1_seq179","GID1_seq402",24.9,0.959380097879282
"192","GID1_seq179","GID1_seq516",23.5,0.966428571428571
"193","GID1_seq18","GID1_seq18",383,0
"194","GID1_seq180","GID1_seq180",546,0
"195","GID1_seq180","GID1_seq500",25.8,0.96
"196","GID1_seq181","GID1_seq181",1776,0
"197","GID1_seq182","GID1_seq182",259,0
"198","GID1_seq182","GID1_seq359",23.5,0.954589371980676
"199","GID1_seq182","GID1_seq71",23,0.949227373068433
"200","GID1_seq183","GID1_seq106",25.8,0.970962296004502
"201","GID1_seq183","GID1_seq183",365,0
"202","GID1_seq184","GID1_seq184",716,0
"203","GID1_seq185","GID1_seq185",1860,0
"204","GID1_seq186","GID1_seq186",822,0
"205","GID1_seq186","GID1_seq280",146,0.818407960199005
"206","GID1_seq186","GID1_seq296",31.1,0.960954174513497
"207","GID1_seq187","GID1_seq187",933,0
"208","GID1_seq188","GID1_seq188",553,0
"209","GID1_seq189","GID1_seq189",588,0
"210","GID1_seq189","GID1_seq386",25.8,0.942920353982301
"211","GID1_seq19","GID1_seq19",513,0
"212","GID1_seq19","GID1_seq350",26.3,0.970581655480984
"213","GID1_seq19","GID1_seq390",28.3,0.973686657368666
"214","GID1_seq19","GID1_seq437",27.5,0.96583850931677
"215","GID1_seq19","GID1_seq92",25.5,0.9510556621881
"216","GID1_seq190","GID1_seq190",415,0
"217","GID1_seq190","GID1_seq413",25.5,0.979115479115479
"218","GID1_seq191","GID1_seq108",51.7,0.776673866090713
"219","GID1_seq191","GID1_seq191",203,0
"220","GID1_seq191","GID1_seq197",23,0.948314606741573
"221","GID1_seq192","GID1_seq192",725,0
"222","GID1_seq193","GID1_seq193",830,0
"223","GID1_seq194","GID1_seq194",617,0
"224","GID1_seq194","GID1_seq354",25.5,0.938701923076923
"225","GID1_seq194","GID1_seq521",24.7,0.954678899082569
"226","GID1_seq195","GID1_seq195",763,0
"227","GID1_seq195","GID1_seq199",46.3,0.94357099329677
"228","GID1_seq195","GID1_seq204",25.2,0.968040583386176
"229","GID1_seq196","GID1_seq196",181,0
"230","GID1_seq196","GID1_seq39",24.1,0.938910012674271
"231","GID1_seq196","GID1_seq415",24.1,0.962196078431373
"232","GID1_seq196","GID1_seq432",25.2,0.951210067763795
"233","GID1_seq196","GID1_seq540",26.9,0.953740326741187
"234","GID1_seq197","GID1_seq197",687,0
"235","GID1_seq198","GID1_seq198",614,0
"236","GID1_seq198","GID1_seq369",27.5,0.976303317535545
"237","GID1_seq199","GID1_seq199",878,0
"238","GID1_seq199","GID1_seq202",35.9,0.949507735583685
"239","GID1_seq199","GID1_seq204",48.3,0.94290780141844
"240","GID1_seq2","GID1_seq2",542,0
"241","GID1_seq20","GID1_seq20",310,0
"242","GID1_seq20","GID1_seq23",24.1,0.946205357142857
"243","GID1_seq20","GID1_seq393",24.7,0.931197771587744
"244","GID1_seq200","GID1_seq200",453,0
"245","GID1_seq201","GID1_seq199",31.4,0.949190938511327
"246","GID1_seq201","GID1_seq201",358,0
"247","GID1_seq202","GID1_seq202",544,0
"248","GID1_seq202","GID1_seq204",45.8,0.932547864506627
"249","GID1_seq203","GID1_seq203",172,0
"250","GID1_seq203","GID1_seq299",23.3,0.937700534759358
"251","GID1_seq204","GID1_seq204",814,0
"252","GID1_seq205","GID1_seq205",1121,0
"253","GID1_seq206","GID1_seq206",668,0
"254","GID1_seq207","GID1_seq207",318,0
"255","GID1_seq208","GID1_seq208",1185,0
"256","GID1_seq209","GID1_seq209",611,0
"257","GID1_seq21","GID1_seq21",243,0
"258","GID1_seq21","GID1_seq242",23.8,0.937940026075619
"259","GID1_seq210","GID1_seq210",972,0
"260","GID1_seq211","GID1_seq211",558,0
"261","GID1_seq211","GID1_seq319",26.1,0.979036144578313
"262","GID1_seq211","GID1_seq517",24.9,0.962186788154898
"263","GID1_seq212","GID1_seq212",532,0
"264","GID1_seq212","GID1_seq363",24.7,0.935255570117955
"265","GID1_seq213","GID1_seq213",509,0
"266","GID1_seq214","GID1_seq214",540,0
"267","GID1_seq215","GID1_seq175",25.5,0.975954738330976
"268","GID1_seq215","GID1_seq215",488,0
"269","GID1_seq216","GID1_seq216",374,0
"270","GID1_seq216","GID1_seq261",23.8,0.948484848484848
"271","GID1_seq217","GID1_seq217",779,0
"272","GID1_seq217","GID1_seq526",26.3,0.95916149068323
"273","GID1_seq218","GID1_seq218",486,0
"274","GID1_seq219","GID1_seq219",1600,0
"275","GID1_seq219","GID1_seq350",27.2,0.981078260869565
"276","GID1_seq219","GID1_seq420",26.6,0.972073490813648
"277","GID1_seq22","GID1_seq22",678,0
"278","GID1_seq22","GID1_seq347",25.5,0.978625314333613
"279","GID1_seq22","GID1_seq432",25.8,0.966274509803922
"280","GID1_seq22","GID1_seq523",28.6,0.96391167192429
"281","GID1_seq22","GID1_seq94",27.2,0.967268351383875
"282","GID1_seq220","GID1_seq220",304,0
"283","GID1_seq220","GID1_seq253",23.5,0.944705882352941
"284","GID1_seq220","GID1_seq472",26.1,0.927700831024931
"285","GID1_seq221","GID1_seq221",2386,0
"286","GID1_seq222","GID1_seq222",1164,0
"287","GID1_seq222","GID1_seq264",33.4,0.967190569744597
"288","GID1_seq222","GID1_seq289",38.2,0.962121963311849
"289","GID1_seq222","GID1_seq313",27.5,0.972361809045226
"290","GID1_seq223","GID1_seq223",773,0
"291","GID1_seq224","GID1_seq224",1358,0
"292","GID1_seq225","GID1_seq225",1123,0
"293","GID1_seq225","GID1_seq336",29.2,0.981118655027481
"294","GID1_seq225","GID1_seq405",33.1,0.977093425605536
"295","GID1_seq225","GID1_seq443",30.8,0.96989247311828
"296","GID1_seq226","GID1_seq226",484,0
"297","GID1_seq226","GID1_seq289",29.2,0.956320119670905
"298","GID1_seq226","GID1_seq297",25.8,0.964633310486635
"299","GID1_seq227","GID1_seq227",335,0
"300","GID1_seq228","GID1_seq228",456,0
"301","GID1_seq228","GID1_seq404",25.8,0.950997150997151
"302","GID1_seq229","GID1_seq229",368,0
"303","GID1_seq229","GID1_seq416",24.1,0.962373145979703
"304","GID1_seq23","GID1_seq179",28,0.937777777777778
"305","GID1_seq23","GID1_seq23",586,0
"306","GID1_seq23","GID1_seq48",77.3,0.914726971869829
"307","GID1_seq230","GID1_seq230",314,0
"308","GID1_seq231","GID1_seq231",385,0
"309","GID1_seq231","GID1_seq32",24.7,0.98426250398216
"310","GID1_seq232","GID1_seq232",303,0
"311","GID1_seq233","GID1_seq159",24.1,0.972025536854324
"312","GID1_seq233","GID1_seq233",313,0
"313","GID1_seq233","GID1_seq306",24.9,0.960663507109005
"314","GID1_seq233","GID1_seq364",27.8,0.957878787878788
"315","GID1_seq233","GID1_seq420",65.7,0.787378640776699
"316","GID1_seq234","GID1_seq234",251,0
"317","GID1_seq234","GID1_seq321",23.5,0.946100917431193
"318","GID1_seq234","GID1_seq82",23.3,0.945687645687646
"319","GID1_seq235","GID1_seq14",37.6,0.947994467496542
"320","GID1_seq235","GID1_seq235",515,0
"321","GID1_seq235","GID1_seq347",33.4,0.969950517318938
"322","GID1_seq235","GID1_seq356",35.9,0.937017543859649
"323","GID1_seq235","GID1_seq475",33.9,0.965705614567527
"324","GID1_seq235","GID1_seq547",55.3,0.922549019607843
"325","GID1_seq236","GID1_seq236",471,0
"326","GID1_seq237","GID1_seq237",605,0
"327","GID1_seq237","GID1_seq290",24.9,0.959643435980551
"328","GID1_seq238","GID1_seq238",1205,0
"329","GID1_seq238","GID1_seq347",67.4,0.953724682457947
"330","GID1_seq238","GID1_seq394",150,0.878296146044625
"331","GID1_seq238","GID1_seq475",80.9,0.939332583427072
"332","GID1_seq238","GID1_seq490",73,0.936438833260775
"333","GID1_seq238","GID1_seq547",30.8,0.970915958451369
"334","GID1_seq239","GID1_seq239",722,0
"335","GID1_seq24","GID1_seq24",1225,0
"336","GID1_seq24","GID1_seq29",26.6,0.976666666666667
"337","GID1_seq24","GID1_seq421",29.2,0.964819277108434
"338","GID1_seq240","GID1_seq240",940,0
"339","GID1_seq240","GID1_seq382",25.5,0.964185393258427
"340","GID1_seq240","GID1_seq402",25.8,0.972138228941685
"341","GID1_seq241","GID1_seq241",226,0
"342","GID1_seq241","GID1_seq265",23,0.958029197080292
"343","GID1_seq241","GID1_seq397",23.8,0.938817480719794
"344","GID1_seq241","GID1_seq510",23.5,0.972287735849057
"345","GID1_seq242","GID1_seq242",524,0
"346","GID1_seq242","GID1_seq322",37.3,0.926574803149606
"347","GID1_seq243","GID1_seq243",1280,0
"348","GID1_seq243","GID1_seq510",168,0.877818181818182
"349","GID1_seq244","GID1_seq244",419,0
"350","GID1_seq244","GID1_seq391",24.1,0.940420271940667
"351","GID1_seq245","GID1_seq245",444,0
"352","GID1_seq245","GID1_seq338",25.2,0.956135770234987
"353","GID1_seq245","GID1_seq423",24.4,0.970280146163216
"354","GID1_seq246","GID1_seq246",654,0
"355","GID1_seq246","GID1_seq267",33.7,0.950658857979502
"356","GID1_seq246","GID1_seq499",25.2,0.953719008264463
"357","GID1_seq247","GID1_seq247",476,0
"358","GID1_seq248","GID1_seq248",403,0
"359","GID1_seq249","GID1_seq249",995,0
"360","GID1_seq249","GID1_seq482",26.3,0.971146461876028
"361","GID1_seq25","GID1_seq211",28.6,0.961299052774019
"362","GID1_seq25","GID1_seq25",920,0
"363","GID1_seq25","GID1_seq318",28,0.972345679012346
"364","GID1_seq25","GID1_seq382",28.6,0.959259259259259
"365","GID1_seq25","GID1_seq445",26.3,0.96
"366","GID1_seq25","GID1_seq47",29.4,0.959448275862069
"367","GID1_seq250","GID1_seq250",304,0
"368","GID1_seq251","GID1_seq251",338,0
"369","GID1_seq251","GID1_seq424",23.8,0.949253731343284
"370","GID1_seq252","GID1_seq252",468,0
"371","GID1_seq252","GID1_seq430",25.2,0.961200923787529
"372","GID1_seq252","GID1_seq88",24.4,0.959128978224456
"373","GID1_seq253","GID1_seq253",546,0
"374","GID1_seq254","GID1_seq254",837,0
"375","GID1_seq254","GID1_seq405",26.1,0.979953917050691
"376","GID1_seq255","GID1_seq133",26.6,0.981241184767278
"377","GID1_seq255","GID1_seq255",912,0
"378","GID1_seq256","GID1_seq256",665,0
"379","GID1_seq256","GID1_seq414",27.8,0.981082000680504
"380","GID1_seq256","GID1_seq513",26.9,0.964535266974291
"381","GID1_seq257","GID1_seq257",570,0
"382","GID1_seq258","GID1_seq258",512,0
"383","GID1_seq258","GID1_seq498",23.8,0.939363057324841
"384","GID1_seq259","GID1_seq106",26.6,0.973104145601618
"385","GID1_seq259","GID1_seq259",566,0
"386","GID1_seq259","GID1_seq429",25.5,0.955574912891986
"387","GID1_seq26","GID1_seq26",561,0
"388","GID1_seq260","GID1_seq260",1721,0
"389","GID1_seq261","GID1_seq261",550,0
"390","GID1_seq262","GID1_seq262",734,0
"391","GID1_seq262","GID1_seq402",25.5,0.969015795868773
"392","GID1_seq262","GID1_seq418",26.6,0.949429657794677
"393","GID1_seq263","GID1_seq263",734,0
"394","GID1_seq263","GID1_seq357",27.2,0.945490981963928
"395","GID1_seq264","GID1_seq264",872,0
"396","GID1_seq265","GID1_seq265",870,0
"397","GID1_seq266","GID1_seq266",281,0
"398","GID1_seq267","GID1_seq267",712,0
"399","GID1_seq268","GID1_seq268",892,0
"400","GID1_seq268","GID1_seq482",149,0.826744186046512
"401","GID1_seq268","GID1_seq92",41.5,0.941590429275158
"402","GID1_seq269","GID1_seq269",683,0
"403","GID1_seq27","GID1_seq27",639,0
"404","GID1_seq27","GID1_seq390",25.2,0.977865612648221
"405","GID1_seq270","GID1_seq262",26.3,0.975153519130846
"406","GID1_seq270","GID1_seq270",1383,0
"407","GID1_seq271","GID1_seq271",686,0
"408","GID1_seq271","GID1_seq273",84.6,0.884819605173587
"409","GID1_seq271","GID1_seq534",26.1,0.94375
"410","GID1_seq272","GID1_seq272",459,0
"411","GID1_seq272","GID1_seq334",61.2,0.922384273937857
"412","GID1_seq272","GID1_seq383",24.7,0.944369369369369
"413","GID1_seq272","GID1_seq436",62.1,0.920486555697823
"414","GID1_seq273","GID1_seq273",783,0
"415","GID1_seq273","GID1_seq392",26.1,0.961561119293078
"416","GID1_seq274","GID1_seq274",680,0
"417","GID1_seq275","GID1_seq275",537,0
"418","GID1_seq275","GID1_seq520",25.8,0.943606557377049
"419","GID1_seq276","GID1_seq225",24.1,0.966597366597367
"420","GID1_seq276","GID1_seq276",320,0
"421","GID1_seq277","GID1_seq277",743,0
"422","GID1_seq278","GID1_seq278",510,0
"423","GID1_seq279","GID1_seq279",1881,0
"424","GID1_seq28","GID1_seq118",26.3,0.977415199656505
"425","GID1_seq28","GID1_seq28",1562,0
"426","GID1_seq280","GID1_seq280",786,0
"427","GID1_seq281","GID1_seq281",471,0
"428","GID1_seq282","GID1_seq282",656,0
"429","GID1_seq283","GID1_seq283",511,0
"430","GID1_seq283","GID1_seq89",24.7,0.960543130990415
"431","GID1_seq284","GID1_seq187",24.9,0.965560165975104
"432","GID1_seq284","GID1_seq284",513,0
"433","GID1_seq285","GID1_seq285",190,0
"434","GID1_seq286","GID1_seq286",1091,0
"435","GID1_seq286","GID1_seq343",46.3,0.963456985003946
"436","GID1_seq287","GID1_seq287",852,0
"437","GID1_seq287","GID1_seq353",40.1,0.952740129640542
"438","GID1_seq288","GID1_seq288",756,0
"439","GID1_seq288","GID1_seq511",27.2,0.966253101736973
"440","GID1_seq289","GID1_seq289",853,0
"441","GID1_seq29","GID1_seq29",1055,0
"442","GID1_seq290","GID1_seq187",33.7,0.95685019206146
"443","GID1_seq290","GID1_seq290",629,0
"444","GID1_seq290","GID1_seq433",27.8,0.974977497749775
"445","GID1_seq290","GID1_seq76",26.3,0.965866320571058
"446","GID1_seq291","GID1_seq291",148,0
"447","GID1_seq291","GID1_seq397",21.6,0.938285714285714
"448","GID1_seq292","GID1_seq292",1189,0
"449","GID1_seq292","GID1_seq330",50,0.95355318160706
"450","GID1_seq292","GID1_seq376",26.1,0.977692307692308
"451","GID1_seq292","GID1_seq398",84.3,0.923848238482385
"452","GID1_seq292","GID1_seq526",48.6,0.942756183745583
"453","GID1_seq293","GID1_seq293",478,0
"454","GID1_seq293","GID1_seq90",25.5,0.942307692307692
"455","GID1_seq294","GID1_seq272",82.3,0.820892274211099
"456","GID1_seq294","GID1_seq294",460,0
"457","GID1_seq294","GID1_seq334",89.4,0.886692015209125
"458","GID1_seq294","GID1_seq347",26.9,0.975184501845018
"459","GID1_seq294","GID1_seq390",32.3,0.969208770257388
"460","GID1_seq294","GID1_seq436",47.7,0.938963531669866
"461","GID1_seq294","GID1_seq437",54.8,0.929608220937701
"462","GID1_seq294","GID1_seq487",29.4,0.928117359413203
"463","GID1_seq294","GID1_seq523",26.3,0.961521580102414
"464","GID1_seq295","GID1_seq295",577,0
"465","GID1_seq296","GID1_seq181",26.6,0.97911268158618
"466","GID1_seq296","GID1_seq296",771,0
"467","GID1_seq297","GID1_seq297",975,0
"468","GID1_seq298","GID1_seq298",1004,0
"469","GID1_seq299","GID1_seq299",576,0
"470","GID1_seq3","GID1_seq3",119,0
"471","GID1_seq30","GID1_seq221",22.4,0.982493161391168
"472","GID1_seq30","GID1_seq285",67.1,0.63030303030303
"473","GID1_seq30","GID1_seq30",173,0
"474","GID1_seq300","GID1_seq150",30.6,0.959868852459016
"475","GID1_seq300","GID1_seq300",996,0
"476","GID1_seq301","GID1_seq301",404,0
"477","GID1_seq301","GID1_seq51",43.8,0.920435967302452
"478","GID1_seq302","GID1_seq302",550,0
"479","GID1_seq303","GID1_seq303",496,0
"480","GID1_seq304","GID1_seq133",26.3,0.979714616274585
"481","GID1_seq304","GID1_seq304",669,0
"482","GID1_seq304","GID1_seq431",24.7,0.953086419753086
"483","GID1_seq305","GID1_seq305",719,0
"484","GID1_seq305","GID1_seq498",24.9,0.949798387096774
"485","GID1_seq306","GID1_seq306",953,0
"486","GID1_seq306","GID1_seq369",26.1,0.980375939849624
"487","GID1_seq307","GID1_seq307",722,0
"488","GID1_seq308","GID1_seq287",25.2,0.952676056338028
"489","GID1_seq308","GID1_seq308",213,0
"490","GID1_seq308","GID1_seq335",23.8,0.944131455399061
"491","GID1_seq308","GID1_seq60",24.7,0.957885763000852
"492","GID1_seq309","GID1_seq309",408,0
"493","GID1_seq309","GID1_seq391",25.8,0.935338345864662
"494","GID1_seq31","GID1_seq121",27.2,0.984624081401922
"495","GID1_seq31","GID1_seq31",2929,0
"496","GID1_seq31","GID1_seq442",29.4,0.983243089199202
"497","GID1_seq31","GID1_seq531",29.2,0.985117227319062
"498","GID1_seq310","GID1_seq310",268,0
"499","GID1_seq310","GID1_seq461",23.3,0.926844583987441
"500","GID1_seq311","GID1_seq311",273,0
"501","GID1_seq311","GID1_seq315",34.2,0.911168831168831
"502","GID1_seq312","GID1_seq238",24.7,0.969221183800623
"503","GID1_seq312","GID1_seq271",24.9,0.95414364640884
"504","GID1_seq312","GID1_seq312",400,0
"505","GID1_seq313","GID1_seq313",826,0
"506","GID1_seq313","GID1_seq314",55.3,0.916654107008289
"507","GID1_seq313","GID1_seq315",56.2,0.915041572184429
"508","GID1_seq313","GID1_seq337",28.6,0.969214208826695
"509","GID1_seq313","GID1_seq413",26.3,0.981563266736768
"510","GID1_seq314","GID1_seq314",501,0
"511","GID1_seq315","GID1_seq314",68.3,0.86312625250501
"512","GID1_seq315","GID1_seq315",497,0
